"CountryCode","SeriesCode","DESCRIPTION",
"DJI","IT.MLT.MAIN.P2","Until 2001: Office des Postes et Télécommunications (OPT). Djibouti Telecom S.A. Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",
"DJI","IT.NET.BBND.P2","Until 2001: Office des Postes et Télécommunications (OPT). Djibouti Telecom S.A. Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",
"DJI","IT.NET.USER.ZS","Until 2001: Office des Postes et Télécommunications (OPT). Djibouti Telecom S.A. Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",
"DJI","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"DJI","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"DJI","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"DJI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DMA","IT.CEL.SETS.P2","Telecommunications of Dominica Limited. From 2000: National Telecommunications Regulatory Commission (NTRC).",
"DMA","IT.MLT.MAIN.P2","Telecommunications of Dominica Limited. From 2000: National Telecommunications Regulatory Commission (NTRC).",
"DMA","IT.NET.BBND.P2","Telecommunications of Dominica Limited. From 2000: National Telecommunications Regulatory Commission (NTRC).",
"DMA","IT.NET.USER.ZS","Telecommunications of Dominica Limited. From 2000: National Telecommunications Regulatory Commission (NTRC).",
"DMA","SP.DYN.LE00.FE.IN","Data sources : United Nations Population and Vital Statistics Report",
"DMA","SP.DYN.LE00.MA.IN","Data sources : United Nations Population and Vital Statistics Report",
"DMA","SP.DYN.TFRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"DMA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DMA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DNK","IT.CEL.SETS.P2","National IT and Telecom Agency.",
"DNK","IT.MLT.MAIN.P2","National IT and Telecom Agency.",
"DNK","IT.NET.BBND.P2","National IT and Telecom Agency.",
"DNK","IT.NET.USER.ZS","National IT and Telecom Agency.",
"DNK","SP.DYN.LE00.FE.IN","Data sources : Eurostat, Statistics Denmark",
"DNK","SP.DYN.LE00.MA.IN","Data sources : Eurostat, Statistics Denmark",
"DNK","SP.DYN.TFRT.IN","Data sources : Eurostat",
"DNK","SP.POP.GROW","Data sources : Eurostat",
"DNK","SP.POP.TOTL","Data sources : Eurostat",
"DOM","IT.CEL.SETS.P2","Until 2000: Compañía Dominicana de Teléfonos (CODETEL). From 2000: Instituto Dominicano de las Telecomunicaciones (INDOTEL).",
"DOM","IT.MLT.MAIN.P2","Until 2000: Compañía Dominicana de Teléfonos (CODETEL). From 2000: Instituto Dominicano de las Telecomunicaciones (INDOTEL).",
"DOM","IT.NET.BBND.P2","Until 2000: Compañía Dominicana de Teléfonos (CODETEL). From 2000: Instituto Dominicano de las Telecomunicaciones (INDOTEL).",
"DOM","IT.NET.USER.ZS","Until 2000: Compañía Dominicana de Teléfonos (CODETEL). From 2000: Instituto Dominicano de las Telecomunicaciones (INDOTEL).",
"DOM","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"DOM","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"DOM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"DOM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"DZA","IT.CEL.SETS.P2","Ministère des Postes et Télécommunications (MPT). From 2004: Autorité de Régulation de la Poste et des Télecommunications (ARPT).",
"DZA","IT.MLT.MAIN.P2","Ministère des Postes et Télécommunications (MPT). From 2004: Autorité de Régulation de la Poste et des Télecommunications (ARPT).",
"DZA","IT.NET.BBND.P2","Ministère des Postes et Télécommunications (MPT). From 2004: Autorité de Régulation de la Poste et des Télecommunications (ARPT).",
"DZA","IT.NET.USER.ZS","Ministère des Postes et Télécommunications (MPT). From 2004: Autorité de Régulation de la Poste et des Télecommunications (ARPT).",
"DZA","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"DZA","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"DZA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"DZA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"DZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ECU","IT.CEL.SETS.P2","Superintendencia de Telecomunicaciones (SUPTEL). Consejo Nacional de Telecomunicaciones.",
"ECU","IT.MLT.MAIN.P2","Superintendencia de Telecomunicaciones (SUPTEL). Consejo Nacional de Telecomunicaciones.",
"ECU","IT.NET.BBND.P2","Superintendencia de Telecomunicaciones (SUPTEL). Consejo Nacional de Telecomunicaciones.",
"ECU","IT.NET.USER.ZS","Superintendencia de Telecomunicaciones (SUPTEL). Consejo Nacional de Telecomunicaciones.",
"ECU","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ECU","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ECU","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ECU","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ECU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"EGY","IT.CEL.SETS.P2","Telecom Egypt. From 2003: Ministry of Communications and Information Technology.",
"EGY","IT.MLT.MAIN.P2","Telecom Egypt. From 2003: Ministry of Communications and Information Technology.",
"EGY","IT.NET.BBND.P2","Telecom Egypt. From 2003: Ministry of Communications and Information Technology.",
"EGY","IT.NET.USER.ZS","Telecom Egypt. From 2003: Ministry of Communications and Information Technology.",
"EGY","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"EGY","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"EGY","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"EGY","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"EGY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ERI","IT.CEL.SETS.P2","Eritrea Telecommunication Services Corporation (Eritel).",
"ERI","IT.MLT.MAIN.P2","Eritrea Telecommunication Services Corporation (Eritel).",
"ERI","IT.NET.BBND.P2","Eritrea Telecommunication Services Corporation (Eritel).",
"ERI","IT.NET.USER.ZS","Eritrea Telecommunication Services Corporation (Eritel).",
"ERI","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ERI","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ERI","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ERI","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ERI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ERI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ESP","IT.CEL.SETS.P2","Telefónica de España, S.A.. Ministerio de Ciencia y Technología. Since 2002: Comisión del Mercado de las Telecomunicaciones (CMT).",
"ESP","IT.MLT.MAIN.P2","Telefónica de España, S.A.. Ministerio de Ciencia y Technología. Since 2002: Comisión del Mercado de las Telecomunicaciones (CMT).",
"ESP","IT.NET.BBND.P2","Telefónica de España, S.A.. Ministerio de Ciencia y Technología. Since 2002: Comisión del Mercado de las Telecomunicaciones (CMT).",
"ESP","IT.NET.USER.ZS","Telefónica de España, S.A.. Ministerio de Ciencia y Technología. Since 2002: Comisión del Mercado de las Telecomunicaciones (CMT).",
"ESP","SP.ADO.TFRT","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.LE00.FE.IN","Data sources : Eurostat, Instituto Nacional de Estadistica",
"ESP","SP.DYN.LE00.MA.IN","Data sources : Eurostat, Instituto Nacional de Estadistica",
"ESP","SP.DYN.TFRT.IN","Data sources : Eurostat",
"ESP","SP.POP.GROW","Data sources : Eurostat",
"ESP","SP.POP.TOTL","Data sources : Eurostat",
"EST","IT.CEL.SETS.P2","Ministry of Economic Affairs and Communications. Estonian Competition Authority.",
"EST","IT.MLT.MAIN.P2","Ministry of Economic Affairs and Communications. Estonian Competition Authority.",
"EST","IT.NET.BBND.P2","Ministry of Economic Affairs and Communications. Estonian Competition Authority.",
"EST","IT.NET.USER.ZS","Ministry of Economic Affairs and Communications. Estonian Competition Authority.",
"EST","SP.DYN.LE00.FE.IN","Data sources : Eurostat, United Nations World Population Prospects",
"EST","SP.DYN.LE00.MA.IN","Data sources : Eurostat, United Nations World Population Prospects",
"EST","SP.DYN.TFRT.IN","Data sources : Eurostat, Statistical Office of Estonia",
"EST","SP.POP.GROW","Data sources : Eurostat",
"EST","SP.POP.TOTL","Data sources : Eurostat",
"ETH","IT.CEL.SETS.P2","Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.",
"ETH","IT.MLT.MAIN.P2","Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.",
"ETH","IT.NET.BBND.P2","Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.",
"ETH","IT.NET.USER.ZS","Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.",
"ETH","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ETH","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ETH","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ETH","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ETH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FIN","IT.CEL.SETS.P2","Ministry of Transport and Communications. From 2005: Finnish Communications Regulatory Authority.",
"FIN","IT.MLT.MAIN.P2","Ministry of Transport and Communications. From 2005: Finnish Communications Regulatory Authority.",
"FIN","IT.NET.BBND.P2","Ministry of Transport and Communications. From 2005: Finnish Communications Regulatory Authority.",
"FIN","IT.NET.USER.ZS","Ministry of Transport and Communications. From 2005: Finnish Communications Regulatory Authority.",
"FIN","SP.ADO.TFRT","Including Åland Islands.",
"FIN","SP.DYN.LE00.FE.IN","Data sources : Eurostat, Statistics Finland",
"FIN","SP.DYN.LE00.MA.IN","Data sources : Eurostat, Statistics Finland",
"FIN","SP.DYN.TFRT.IN","Data sources : Eurostat",
"FIN","SP.POP.GROW","Data sources : Eurostat",
"FIN","SP.POP.TOTL","Data sources : Eurostat",
"FJI","IT.CEL.SETS.P2","Until 2003: Telecom Fiji. Ministry of Information, Communications & Media Relations. Ministry of Industry, Tourism, Trade & Communications",
"FJI","IT.MLT.MAIN.P2","Until 2003: Telecom Fiji. Ministry of Information, Communications & Media Relations. Ministry of Industry, Tourism, Trade & Communications",
"FJI","IT.NET.BBND.P2","Until 2003: Telecom Fiji. Ministry of Information, Communications & Media Relations. Ministry of Industry, Tourism, Trade & Communications",
"FJI","IT.NET.USER.ZS","Until 2003: Telecom Fiji. Ministry of Information, Communications & Media Relations. Ministry of Industry, Tourism, Trade & Communications",
"FJI","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"FJI","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"FJI","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"FJI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FJI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FRA","IT.CEL.SETS.P2","Until 1996: France Télécom. Autorité de Régulation des Communications Electroniques et des Postes (ACREP) (formerly ART).",
"FRA","IT.MLT.MAIN.P2","Until 1996: France Télécom. Autorité de Régulation des Communications Electroniques et des Postes (ACREP) (formerly ART).",
"FRA","IT.NET.BBND.P2","Until 1996: France Télécom. Autorité de Régulation des Communications Electroniques et des Postes (ACREP) (formerly ART).",
"FRA","IT.NET.USER.ZS","Until 1996: France Télécom. Autorité de Régulation des Communications Electroniques et des Postes (ACREP) (formerly ART).",
"FRA","SL.TLF.ADVN.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ADVN.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ADVN.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.BASC.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.BASC.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.BASC.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.INTM.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.INTM.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.INTM.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.LE00.FE.IN","Data sources and note : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SP.DYN.LE00.MA.IN","Data sources and note : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SP.DYN.TFRT.IN","Data sources and note : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SP.POP.0014.TO.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.1564.TO.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.65UP.TO.ZS","Including the four French overseas departments (French Guyana, Guadeloupe, Martinique and Réunion)",
"FRA","SP.POP.GROW","Data sources: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRA","SP.POP.TOTL","Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRO","IT.CEL.SETS.P2","The Faroese Telephone Company, Danish National Telecom Agency.  Post and Telecom Surveillance Authority",
"FRO","IT.MLT.MAIN.P2","The Faroese Telephone Company, Danish National Telecom Agency.  Post and Telecom Surveillance Authority",
"FRO","IT.NET.BBND.P2","The Faroese Telephone Company, Danish National Telecom Agency.  Post and Telecom Surveillance Authority",
"FRO","IT.NET.USER.ZS","The Faroese Telephone Company, Danish National Telecom Agency.  Post and Telecom Surveillance Authority",
"FRO","SP.DYN.LE00.FE.IN","Data sources : Statistics Faroe Islands",
"FRO","SP.DYN.LE00.MA.IN","Data sources : Statistics Faroe Islands",
"FRO","SP.DYN.TFRT.IN","Data sources : Statistics Faroe Islands",
"FRO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FRO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"FSM","IT.CEL.SETS.P2","FSM Telecommunication Corporation.",
"FSM","IT.MLT.MAIN.P2","FSM Telecommunication Corporation.",
"FSM","IT.NET.BBND.P2","FSM Telecommunication Corporation.",
"FSM","IT.NET.USER.ZS","FSM Telecommunication Corporation.",
"FSM","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"FSM","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"FSM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"FSM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"FSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GAB","IT.CEL.SETS.P2","Until 2001: Office des postes et des télécommunications (OPT). Gabon Telecom S.A.",
"GAB","IT.MLT.MAIN.P2","Until 2001: Office des postes et des télécommunications (OPT). Gabon Telecom S.A.",
"GAB","IT.NET.BBND.P2","Until 2001: Office des postes et des télécommunications (OPT). Gabon Telecom S.A.",
"GAB","IT.NET.USER.ZS","Until 2001: Office des postes et des télécommunications (OPT). Gabon Telecom S.A.",
"GAB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GAB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GAB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GAB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GAB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GBR","IT.CEL.SETS.P2","Office of Communications (Ofcom).",
"GBR","IT.MLT.MAIN.P2","Office of Communications (Ofcom).",
"GBR","IT.NET.BBND.P2","Office of Communications (Ofcom).",
"GBR","IT.NET.USER.ZS","Office of Communications (Ofcom).",
"GBR","SP.DYN.LE00.FE.IN","Data sources : Eurostat, National Statistics",
"GBR","SP.DYN.LE00.MA.IN","Data sources : Eurostat, National Statistics",
"GBR","SP.DYN.TFRT.IN","Data sources : Eurostat",
"GBR","SP.POP.GROW","Data sources: Eurostat",
"GBR","SP.POP.TOTL","Data sources : Eurostat",
"GEO","EN.POP.DNST","Excludes Abkhazia and South Ossetia.",
"GEO","IT.CEL.SETS.P2","Ministry of Communications, From 2001: Georgian National Communications Commission (GNCC).",
"GEO","IT.MLT.MAIN.P2","Ministry of Communications, From 2001: Georgian National Communications Commission (GNCC).",
"GEO","IT.NET.BBND.P2","Ministry of Communications, From 2001: Georgian National Communications Commission (GNCC).",
"GEO","IT.NET.USER.ZS","Ministry of Communications, From 2001: Georgian National Communications Commission (GNCC).",
"GEO","NY.GDP.PCAP.KD","Excludes Abkhazia and South Ossetia.",
"GEO","NY.GDP.PCAP.PP.KD","Excludes Abkhazia and South Ossetia.",
"GEO","SP.ADO.TFRT","Including Abkhazia and South Ossetia.",
"GEO","SP.DYN.LE00.FE.IN","Data sources and note : United Nations World Population Prospects. Including Abkhazia and South Ossetia.",
"GEO","SP.DYN.LE00.MA.IN","Data sources and note : United Nations World Population Prospects. Including Abkhazia and South Ossetia.",
"GEO","SP.DYN.TFRT.IN","Data sources and note : United Nations World Population Prospects. Including Abkhazia and South Ossetia.",
"GEO","SP.POP.0014.TO","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.0014.TO.ZS","Including Abkhazia and South Ossetia.",
"GEO","SP.POP.1564.TO","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.1564.TO.ZS","Including Abkhazia and South Ossetia.",
"GEO","SP.POP.65UP.TO","Derived using ratio of age group from WPP and World Bank population.",
"GEO","SP.POP.65UP.TO.ZS","Including Abkhazia and South Ossetia.",
"GEO","SP.POP.DPND","Including Abkhazia and South Ossetia.",
"GEO","SP.POP.GROW","Data sources: GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.",
"GEO","SP.POP.TOTL","Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.",
"GHA","IT.CEL.SETS.P2","Ghana Telecom. From 2002: National Communications Authority (NCA).",
"GHA","IT.MLT.MAIN.P2","Ghana Telecom. From 2002: National Communications Authority (NCA).",
"GHA","IT.NET.BBND.P2","Ghana Telecom. From 2002: National Communications Authority (NCA).",
"GHA","IT.NET.USER.ZS","Ghana Telecom. From 2002: National Communications Authority (NCA).",
"GHA","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GHA","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GHA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GHA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GHA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GIB","IT.CEL.SETS.P2","Gibtelecom. Gibraltar Regulatory Authority./",
"GIB","IT.MLT.MAIN.P2","Gibtelecom. Gibraltar Regulatory Authority./",
"GIB","IT.NET.BBND.P2","Gibtelecom. Gibraltar Regulatory Authority./",
"GIB","IT.NET.USER.ZS","Gibtelecom. Gibraltar Regulatory Authority./",
"GIB","SP.POP.GROW","Data sources : United Nations World Population Prospects",
"GIB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GIN","IT.CEL.SETS.P2","Société des Télécommunications de Guinée (SOTELGUI). Ministère de la Communication et des Nouvelles Technologies de l'Information.",
"GIN","IT.MLT.MAIN.P2","Société des Télécommunications de Guinée (SOTELGUI). Ministère de la Communication et des Nouvelles Technologies de l'Information.",
"GIN","IT.NET.BBND.P2","Société des Télécommunications de Guinée (SOTELGUI). Ministère de la Communication et des Nouvelles Technologies de l'Information.",
"GIN","IT.NET.USER.ZS","Société des Télécommunications de Guinée (SOTELGUI). Ministère de la Communication et des Nouvelles Technologies de l'Information.",
"GIN","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GIN","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GIN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GIN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GIN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GMB","IT.CEL.SETS.P2","Gambia Telecommunications Co. Ltd (GAMTEL). From 2005: The Gambia Public Utilities Regulatory Authority.",
"GMB","IT.MLT.MAIN.P2","Gambia Telecommunications Co. Ltd (GAMTEL). From 2005: The Gambia Public Utilities Regulatory Authority.",
"GMB","IT.NET.BBND.P2","Gambia Telecommunications Co. Ltd (GAMTEL). From 2005: The Gambia Public Utilities Regulatory Authority.",
"GMB","IT.NET.USER.ZS","Gambia Telecommunications Co. Ltd (GAMTEL). From 2005: The Gambia Public Utilities Regulatory Authority.",
"GMB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GMB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GMB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GMB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNB","IT.CEL.SETS.P2","Until 2001: Ministério dos Transportes e Comunicações. Instituto das Comunicações da Guiné-Bissau.",
"GNB","IT.MLT.MAIN.P2","Until 2001: Ministério dos Transportes e Comunicações. Instituto das Comunicações da Guiné-Bissau.",
"GNB","IT.NET.BBND.P2","Until 2001: Ministério dos Transportes e Comunicações. Instituto das Comunicações da Guiné-Bissau.",
"GNB","IT.NET.USER.ZS","Until 2001: Ministério dos Transportes e Comunicações. Instituto das Comunicações da Guiné-Bissau.",
"GNB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GNB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GNB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GNB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GNB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GNQ","IT.CEL.SETS.P2","Until 2001: Ministerio de Transportes, Información y Comunicaciones. La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).",
"GNQ","IT.MLT.MAIN.P2","Until 2001: Ministerio de Transportes, Información y Comunicaciones. La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).",
"GNQ","IT.NET.BBND.P2","Until 2001: Ministerio de Transportes, Información y Comunicaciones. La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).",
"GNQ","IT.NET.USER.ZS","Until 2001: Ministerio de Transportes, Información y Comunicaciones. La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).",
"GNQ","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GNQ","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GNQ","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GNQ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GNQ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GRC","IT.CEL.SETS.P2","Hellenic Telecommunications & Post Commission (EETT).",
"GRC","IT.MLT.MAIN.P2","Hellenic Telecommunications & Post Commission (EETT).",
"GRC","IT.NET.BBND.P2","Hellenic Telecommunications & Post Commission (EETT).",
"GRC","IT.NET.USER.ZS","Hellenic Telecommunications & Post Commission (EETT).",
"GRC","SP.DYN.LE00.FE.IN","Data sources : Eurostat, United Nations World Population Prospects",
"GRC","SP.DYN.LE00.MA.IN","Data sources : Eurostat, United Nations World Population Prospects",
"GRC","SP.DYN.TFRT.IN","Data sources : Eurostat",
"GRC","SP.POP.GROW","Data sources : Eurostat",
"GRC","SP.POP.TOTL","Data sources : Eurostat",
"GRD","IT.CEL.SETS.P2","Cable and Wireless (WI).",
"GRD","IT.MLT.MAIN.P2","Cable and Wireless (WI).",
"GRD","IT.NET.BBND.P2","Cable and Wireless (WI).",
"GRD","IT.NET.USER.ZS","Cable and Wireless (WI).",
"GRD","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"GRD","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"GRD","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"GRD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"GRD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"GRL","IT.CEL.SETS.P2","Tele Greenland A/S.",
"GRL","IT.MLT.MAIN.P2","Tele Greenland A/S.",
"GRL","IT.NET.BBND.P2","Tele Greenland A/S.",
"GRL","IT.NET.USER.ZS","Tele Greenland A/S.",
"GRL","SP.DYN.LE00.FE.IN","Data sources : Statistics Greenland, United Nations Population and Vital Statistics Report",
"GRL","SP.DYN.LE00.MA.IN","Data sources : Statistics Greenland, United Nations Population and Vital Statistics Report",
"GRL","SP.DYN.TFRT.IN","Data sources : Statistics Greenland",
"GRL","SP.POP.GROW","Data sources: Statistics Greenland",
"GRL","SP.POP.TOTL","Data sources : Statistics Greenland",
"GTM","IT.CEL.SETS.P2","Until 1998: Empresa Guatemalteca de Telecomunicaciones. Superintendencia de Telecomunicaciones de Guatemala (SIT).",
"GTM","IT.MLT.MAIN.P2","Until 1998: Empresa Guatemalteca de Telecomunicaciones. Superintendencia de Telecomunicaciones de Guatemala (SIT).",
